DAUID,DGUID,LANDAREA,PRUID,X,Y
35200375,2021S051235200375,0.0329,35,630253.9741303870,4845495.298709910
35200376,2021S051235200376,0.57,35,630866.6165929320,4844816.415579380
35200377,2021S051235200377,0.3697,35,630770.2004602670,4845726.425475030
35200378,2021S051235200378,0.1234,35,631028.5283710210,4845325.340994480
35200379,2021S051235200379,0.2052,35,631341.2995122290,4845358.549958260
35200380,2021S051235200380,0.1777,35,631715.8020983070,4845272.532695400
35200381,2021S051235200381,0.1218,35,631807.9848223500,4845577.915115950
35200382,2021S051235200382,0.1154,35,631587.8511859110,4845788.998262100
35200383,2021S051235200383,0.1344,35,631858.6502902160,4846067.377991640
35200384,2021S051235200384,0.2106,35,631388.7371060280,4846125.329943780
35200385,2021S051235200385,0.094,35,631393.4369806130,4845858.779195850
35200386,2021S051235200386,0.4673,35,630936.8027752110,4846311.124059720
35200387,2021S051235200387,0.1371,35,631578.3867971020,4846549.454379650
35200388,2021S051235200388,0.2112,35,631329.9242293290,4846856.186725000
35200389,2021S051235200389,1.731,35,632054.0554519400,4846577.384894210
35200391,2021S051235200391,0.1161,35,630839.7624798840,4847718.809810240
35200392,2021S051235200392,0.0991,35,631037.8535371440,4847966.494351890
35200393,2021S051235200393,0.6904,35,630892.9803807210,4848254.059115310
35200394,2021S051235200394,0.2104,35,630140.8062354000,4848292.855952970
35200395,2021S051235200395,0.2494,35,630034.9442559670,4847962.019632150
35200396,2021S051235200396,0.1433,35,629744.0499756860,4848277.367969750
35200397,2021S051235200397,0.33,35,632670.3914087690,4847097.896950360
35200400,2021S051235200400,0.2336,35,633312.0831481880,4846619.189253810
35200401,2021S051235200401,0.1514,35,633427.8165056990,4846499.179999670
35200402,2021S051235200402,0.1474,35,633779.8361276000,4846569.768844840
35200404,2021S051235200404,0.0522,35,633335.8805985130,4846967.433662140
35200405,2021S051235200405,0.1601,35,634071.6148871130,4847257.776637030
35200406,2021S051235200406,0.0788,35,634149.9298020410,4847163.933380870
35200407,2021S051235200407,0.1326,35,634231.6064647670,4846911.737302890
35200408,2021S051235200408,0.1464,35,634567.1718489180,4847133.823780210
35200409,2021S051235200409,0.0597,35,634692.9061225470,4846903.198150110
35200410,2021S051235200410,0.0521,35,634773.1102495700,4846769.578876950
35200411,2021S051235200411,0.0867,35,634362.9135254760,4846678.640753340
35200412,2021S051235200412,0.0831,35,634039.6778986630,4846608.678456350
35200413,2021S051235200413,0.0823,35,634122.9126380030,4846105.238466690
35200414,2021S051235200414,0.1059,35,634233.5282128490,4846094.821522970
35200415,2021S051235200415,0.2869,35,634499.7896895020,4846188.238595090
35200416,2021S051235200416,0.182,35,634800.0474294010,4846065.414830230
35200417,2021S051235200417,0.3421,35,635033.9751356080,4846339.221637230
35200418,2021S051235200418,0.0488,35,635243.6623844320,4846543.989714210
35200420,2021S051235200420,0.1498,35,635392.1846067870,4846626.774377450
