DAUID,Population,Population 15 to 64,Pop_65plus,Pop15plus
35200362,573,370,105,475
35200363,483,320,95,415
35200364,1498,1130,185,1315
35200366,673,480,75,555
35200368,339,235,60,295
35200370,446,275,110,385
35200371,501,315,125,440
35200372,365,255,75,330
35200373,300,200,65,265
35200374,601,310,220,530
35200375,304,200,65,265
35200376,477,300,120,420
35200377,486,295,115,410
35200378,276,170,75,245
35200379,491,305,120,425
35200380,570,370,115,485
35200381,1032,690,190,880
35200382,879,605,140,745
35200383,571,380,105,485
35200384,508,290,160,450
35200385,318,190,90,280
35200386,726,460,175,635
35200387,451,275,105,380
35200388,725,495,120,615
35200389,854,565,165,730
35200391,452,300,90,390
35200392,333,190,105,295
35200393,804,470,250,720
35200394,577,360,125,485
35200395,482,310,110,420
35200396,455,290,115,405
35200397,881,560,205,765
35200400,305,190,70,260
35200401,421,255,105,360
35200402,457,315,80,395
35200404,470,290,135,425
35200405,488,350,50,400
35200406,375,245,70,315
35200407,396,245,100,345
35200408,479,325,115,440
35200409,333,215,80,295
35200410,1017,755,110,865
35200411,778,555,115,670
35200412,1655,1195,155,1350
35200413,791,580,90,670
35200414,1246,910,65,975
35200415,311,195,65,260
35200416,446,265,110,375
35200417,1051,700,185,885
35200418,1052,730,125,855
35200420,795,540,160,700
35200421,344,230,85,315
35200422,576,420,95,515
35200423,574,330,190,520
35200426,498,335,80,415
35200427,483,335,100,435
35200428,515,360,65,425
35200429,543,375,65,440
35200430,594,395,95,490
35200431,606,410,120,530
35200432,399,275,65,340
35200433,439,290,90,380
35200434,425,300,50,350
35200435,448,330,50,380
35200436,657,410,155,565
35200437,438,275,95,370
35200438,570,395,105,500
35200439,384,250,80,330
35200440,437,280,100,380
35200442,516,360,60,420
35200443,483,355,75,430
35200444,561,240,285,525
35200445,353,250,75,325
35200449,477,295,80,375
35200450,449,260,95,355
35200451,321,215,55,270
35200452,606,365,155,520
35200453,662,405,175,580
35200454,698,490,125,615
35200455,414,255,100,355
35200456,861,620,135,755
35200459,332,210,70,280
35200460,503,360,40,400
35200463,539,285,190,475
35200464,666,430,125,555
35200465,628,415,145,560
35200466,542,370,95,465
35200467,577,370,140,510
35200468,597,415,95,510
35200469,490,365,60,425
35200470,579,400,65,465
35200471,1430,1050,135,1185
35200472,659,450,115,565
35200475,546,380,90,470
35200478,526,360,80,440
35200479,543,360,95,455
35200480,405,285,65,350
35200481,446,295,80,375
35200482,447,320,65,385
35200483,433,315,60,375
35200484,739,525,105,630
35200488,397,275,65,340
35200489,416,290,70,360
35200490,376,260,65,325
35200491,477,325,70,395
35200492,272,195,45,240
35200493,324,235,35,270
35200494,433,280,90,370
35200495,499,355,75,430
35200497,923,620,85,705
35200498,488,320,95,415
35200499,950,645,140,785
35200505,421,310,40,350
35200506,409,305,35,340
35200510,461,315,65,380
35200511,462,330,60,390
35200512,427,275,65,340
35200513,405,290,55,345
35200514,464,310,70,380
35200515,457,310,80,390
35200516,447,295,75,370
35200517,545,390,60,450
35200518,456,310,85,395
35200519,425,285,55,340
35200520,523,345,75,420
35200521,623,405,90,495
35200522,563,360,100,460
35200523,564,385,80,465
35200524,498,285,140,425
35200525,440,235,120,355
35200529,914,490,345,835
35200531,685,460,130,590
35200532,464,315,70,385
35200533,265,180,50,230
35200534,550,350,95,445
35200535,444,315,65,380
35200536,1011,710,165,875
35200538,2203,1440,435,1875
35200539,1009,715,130,845
35200540,493,355,55,410
35200541,1151,795,170,965
35200542,464,305,85,390
35200545,225,0,225,225
35200561,796,525,145,670
35200562,534,360,90,450
35200563,493,330,70,400
35200564,546,370,90,460
35200565,537,355,85,440
35200566,536,345,100,445
35200567,559,390,95,485
35200568,531,350,75,425
35200569,612,430,80,510
35200570,471,300,75,375
35200571,564,380,95,475
35200572,594,390,70,460
35200573,537,350,70,420
35200574,454,295,85,380
35200575,542,350,105,455
35200576,674,440,105,545
35200577,551,365,80,445
35200578,368,225,70,295
35200579,660,455,95,550
35200580,499,330,55,385
35200581,357,245,50,295
35200582,763,505,120,625
35200583,774,540,100,640
35200584,495,325,65,390
35200585,442,295,60,355
35200586,577,380,60,440
35200587,714,505,80,585
35200588,747,495,130,625
35200589,644,460,75,535
35200590,529,380,40,420
35200591,585,385,60,445
35200593,727,515,90,605
35200594,537,350,75,425
35200595,452,295,65,360
35200596,920,690,105,795
35200597,384,275,55,330
35200598,421,315,45,360
35200599,547,355,115,470
35200600,446,290,60,350
35200601,448,310,50,360
35200602,451,310,70,380
35200603,710,475,105,580
35200604,570,410,55,465
35200605,619,435,75,510
35200606,445,295,80,375
35200610,311,210,35,245
35200611,530,360,60,420
35200612,683,455,85,540
35200639,1851,1335,165,1500
35200640,579,420,75,495
35200641,1005,635,185,820
35200642,455,365,50,415
35200643,528,385,70,455
35200644,454,310,55,365
35200645,487,300,115,415
35200646,441,295,65,360
35200647,486,305,100,405
35200648,744,475,200,675
35200649,529,355,80,435
35200650,743,475,100,575
35200651,734,505,65,570
35200652,612,415,75,490
35200653,452,300,40,340
35200654,1942,1385,110,1495
35200655,520,335,85,420
35200656,450,230,160,390
35200657,760,500,140,640
35200658,677,425,140,565
35200659,511,305,115,420
35200660,726,490,105,595
35200661,871,585,205,790
35200662,689,450,155,605
35200663,302,220,30,250
35200664,721,435,130,565
35200665,863,565,130,695
35200666,743,510,70,580
35200667,469,315,65,380
35200668,329,245,30,275
35200669,399,245,95,340
35200670,487,335,55,390
35200671,451,300,55,355
35200672,301,225,35,260
35200673,589,440,60,500
35200674,1001,720,135,855
35200675,564,405,70,475
35200676,691,455,70,525
35200677,499,350,45,395
35200678,708,495,80,575
35200679,532,340,65,405
35200680,789,545,90,635
35200681,548,370,55,425
35200682,438,280,45,325
35200683,752,510,110,620
35200686,1010,720,100,820
35200687,449,335,55,390
35200688,457,315,50,365
35200689,347,230,45,275
35200690,344,260,40,300
35200691,279,190,45,235
35200692,330,235,45,280
35200693,436,310,55,365
35200694,582,410,60,470
35200695,551,390,70,460
35200696,315,230,40,270
35200697,453,290,90,380
35200698,335,240,45,285
35200699,400,285,55,340
35200700,270,185,40,225
35200701,470,345,55,400
35200702,505,375,55,430
35200703,594,435,90,525
35200704,499,255,200,455
35200705,1007,705,85,790
35200706,434,310,55,365
35200707,363,255,40,295
35200708,477,325,55,380
35200709,527,315,105,420
35200710,495,335,90,425
35200711,505,315,85,400
35200712,711,515,90,605
35200713,418,295,65,360
35200714,397,280,45,325
35200715,395,270,55,325
35200716,323,230,35,265
35200717,435,320,60,380
35200718,1352,970,140,1110
35200719,922,655,100,755
35200720,530,385,85,470
35200724,706,450,115,565
35200725,658,420,110,530
35200726,412,270,80,350
35200727,512,315,100,415
35200728,980,520,325,845
35200729,347,210,65,275
35200730,346,205,80,285
35200731,436,305,60,365
35200732,634,445,80,525
35200733,506,345,65,410
35200734,365,225,60,285
35200735,450,285,65,350
35200736,388,285,40,325
35200737,392,245,70,315
35200738,436,280,65,345
35200739,568,440,70,510
35200740,499,320,80,400
35200741,640,375,195,570
35200744,1179,705,345,1050
35200745,309,210,75,285
35200746,930,605,160,765
35200747,526,325,105,430
35200748,549,365,90,455
35200749,455,285,100,385
35200750,461,315,85,400
35200751,537,335,95,430
35200752,364,205,100,305
35200753,589,360,165,525
35200754,626,385,180,565
35200755,430,230,175,405
35200756,832,705,80,785
35200757,1498,1350,75,1425
35200768,463,410,40,450
35200769,437,375,35,410
35200770,454,390,45,435
35200771,913,505,360,865
35200772,852,640,130,770
35200774,304,245,45,290
35200783,478,410,50,460
35200791,446,150,275,425
35200792,724,480,140,620
35200794,527,370,100,470
35200795,441,285,100,385
35200796,495,320,125,445
35200797,451,330,65,395
35200798,468,290,125,415
35200801,1748,1310,240,1550
35200802,422,295,25,320
35200803,711,575,45,620
35200804,657,480,30,510
35200805,3894,3020,350,3370
35200806,505,370,70,440
35200807,186,135,30,165
35200808,423,330,60,390
35200809,272,215,30,245
35200810,785,660,20,680
35200811,861,620,85,705
35200812,496,370,95,465
35200813,341,270,50,320
35200814,1119,930,85,1015
35200815,532,415,55,470
35200821,604,495,60,555
35200822,877,530,310,840
35200826,1084,820,150,970
35200827,423,240,145,385
35200828,513,385,80,465
35200829,0,NA,NA,NA
35200831,560,370,140,510
35200832,3655,3200,210,3410
35200833,797,530,205,735
35200855,2382,2020,225,2245
35200859,548,440,65,505
35200860,787,490,245,735
35200861,518,450,35,485
35200862,401,305,65,370
35200863,380,295,55,350
35200864,374,285,60,345
